word,AP 1910-1950,AP All,AP Avg,K5 1910-1950,K5 All,K5 Avg,K7 1910-1950,K7 All,K7 Avg,FREQ 1910,FREQ 1950,FREQ All,FREQ Avg,MEANING GAIN/LOSS 1910-1950,MEANING GAIN/LOSS All
something,"10,7411","14,6082","11,4938","19,8506","18,1051","19,6119","16,8379","12,9792","11,097","13,6896","13,9205","10,7066","11,969","15,1913","19,3277"
man,"10,7623","15,0854","11,796","12,3459","14,5768","12,0351","13,2275","14,4189","11,9613","13,9139","14,5507","12,5999","11,2868","14,4265","14,3681"
case,"13,9319","12,3927","11,1601","14,4701","12,0054","12,6834","15,2187","10,4189","18,6418","19,7639","13,9973","14,6506","17,9437","15,1413","14,8088"
government,"12,0975","16,3164","10,0667","13,7815","18,5949","10,0417","13,7126","11,7793","16,4322","16,4604","19,3746","11,2486","19,7453","12,9258","16,3501"
company,"18,0044","11,7197","10,2836","15,0036","13,0826","16,2201","12,4256","10,0907","14,3591","18,9881","11,0847","11,014","16,4242","19,7279","18,4774"
group,"19,006","10,4274","18,892","13,5538","16,3048","10,5929","18,4163","16,1313","11,6121","12,8863","11,2836","18,3729","18,0283","10,2005","13,2688"
child,"18,8079","15,4127","17,101","14,3223","17,3621","10,2521","12,7023","12,1651","13,1941","17,9441","19,4521","17,2893","14,7803","13,2181","19,8792"
eye,"10,5871","15,1049","17,915","12,6065","12,2211","17,9429","11,8328","18,3758","10,5876","16,9399","13,2793","15,0467","19,466","10,8416","12,5977"
world,"18,9341","19,774","10,9331","12,5257","12,5954","15,1403","10,5176","19,5367","18,4945","18,2035","19,5685","18,1003","16,3705","19,0776","12,1011"
way,"12,5118","17,5054","17,0481","10,1242","12,0453","12,8546","13,5458","18,9377","15,3422","12,7729","17,514","15,7803","13,2797","18,2124","10,7791"
fact,"13,9422","11,7603","11,8164","19,5392","12,0064","17,3108","17,4026","17,3354","14,5431","11,339","15,8109","17,3913","10,3584","16,6171","15,742"
problem,"10,2573","10,6156","10,198","13,0911","16,5235","18,4528","17,0076","19,4008","11,4674","12,5","10,9221","17,5778","16,2355","19,6159","13,47"
number,"18,865","15,762","18,5832","14,1402","19,4889","16,7901","18,9099","18,9298","12,3272","10,4828","18,3448","19,7396","13,6704","13,3877","13,6643"
place,"12,6949","12,7841","12,0425","15,3981","17,8924","15,0631","11,8409","11,365","10,3194","14,8102","18,2971","13,7186","12,4253","16,3271","11,0204"
